Method,Model,Layer,Total Questions,Correct,Accuracy
MCMC 1.5B,Qwen_Qwen2.5-Math-1.5B,21,100,0,0.0%
MCMC 1.5B,Qwen_Qwen2.5-Math-1.5B,22,100,0,0.0%
MCMC 1.5B,Qwen_Qwen2.5-Math-1.5B,23,100,1,1.0%
MCMC 1.5B,Qwen_Qwen2.5-Math-1.5B,24,100,34,34.0%
MCMC 1.5B,Qwen_Qwen2.5-Math-1.5B,25,100,64,64.0%
MCMC 1.5B,Qwen_Qwen2.5-Math-1.5B,26,100,65,65.0%
MCMC 1.5B,Qwen_Qwen2.5-Math-1.5B,100,100,71,71.0%
Baseline 1.5B,Qwen_Qwen2.5-Math-1.5B,21,100,0,0.0%
Baseline 1.5B,Qwen_Qwen2.5-Math-1.5B,22,100,1,1.0%
Baseline 1.5B,Qwen_Qwen2.5-Math-1.5B,23,100,1,1.0%
Baseline 1.5B,Qwen_Qwen2.5-Math-1.5B,24,100,35,35.0%
Baseline 1.5B,Qwen_Qwen2.5-Math-1.5B,25,100,56,56.0%
Baseline 1.5B,Qwen_Qwen2.5-Math-1.5B,26,100,61,61.0%
Baseline 1.5B,Qwen_Qwen2.5-Math-1.5B,100,100,61,61.0%
MCMC 7B,Qwen_Qwen2.5-Math-7B,21,100,0,0.0%
MCMC 7B,Qwen_Qwen2.5-Math-7B,22,100,0,0.0%
MCMC 7B,Qwen_Qwen2.5-Math-7B,23,100,1,1.0%
MCMC 7B,Qwen_Qwen2.5-Math-7B,24,100,4,4.0%
MCMC 7B,Qwen_Qwen2.5-Math-7B,25,100,50,50.0%
MCMC 7B,Qwen_Qwen2.5-Math-7B,26,100,79,79.0%
MCMC 7B,Qwen_Qwen2.5-Math-7B,100,100,69,69.0%
Baseline 7B,Qwen_Qwen2.5-Math-7B,21,100,0,0.0%
Baseline 7B,Qwen_Qwen2.5-Math-7B,22,100,0,0.0%
Baseline 7B,Qwen_Qwen2.5-Math-7B,23,100,1,1.0%
Baseline 7B,Qwen_Qwen2.5-Math-7B,24,100,11,11.0%
Baseline 7B,Qwen_Qwen2.5-Math-7B,25,100,49,49.0%
Baseline 7B,Qwen_Qwen2.5-Math-7B,26,100,71,71.0%
Baseline 7B,Qwen_Qwen2.5-Math-7B,100,100,71,71.0%
